word;translation;sentence;association
նստարանին;скамейка;;
վրա;на;послелог;
դուրս գալ;наружу, на улицу;;
Օդ;воздух;;О2
տակ;под;послелог;так под чем ты?
ման գալ;гулять;;погуляем до мангала
աննման;бесподобно;;Анна бесподобная
Օգնում;помогать;;О гном, помоги!
Բոլորը;Все;;Все балерины
էլ;тоже;;
աման;посуда;;Посуда из Омана
Իսկ;а;А тот?;
ամեն;каждый;;Аминь - каждому.
ստանալ;получать;;Не получил и поэтому стонал
բարել;приносить;;Принеси мне барель
բառ;слово;;Бар это отличное слово
նավաստի;моряк;;
Իմն;мой;в конце предложения;
ընտրել;выбрать;;Enter your choice.
նվագել;музицировать;;Музицировать как наваждение
մոտենալ;подходить;;
Գնել;покупать;;
Անել;делать;;Анна всегда что-то делает
Երգել;петь;;
Իմանալ;Узнавать, Знать;;Манал я всё знать!
Լսել;слышать;;Listen.
Լինել;быть;;Быть - и слинять.
Լռել;молчать;;Молчать в Лори
Նվիրել;дарить;;Что-то новинькое
Սկսել;начинать;;Начало и success
Սովորել;Учиться;;Учиться у маршала Суворова
Մոռանալ;забыть;;Memoranal
Մտնել;Входить;;
վարդ;роза;;Роза - отличное слово! (Ворд).
վեց;шесть;;
վարել;водить;;
նավակ;лодка;;նավ + ակ = маленький корабль
նավ;корабль;;навигация
կավ;глина;;Кава из гининой кружки
լվանալ;Мыть;;Мою мылом с запахом лаванды.
լվացվել;Умываться;;Созвучно с плескаться
ցավ;Боль;;ցավդ տանեմ - унесу твою боль
Վրաստան;Грузия;;В Грузии любят приվրաть
Վրաստանից;Из Грузии;;
վրացի;грузин;;
ո՞նց;как?;;
բացել;открыть;;открой и сбацай
բաց;открытый;;
ցույց տալ;показывать;;телл ми
ուրց;чабрец;;
ցուցակ;список;;список цуцаков
ցորեն;пшеница;;
ցանել;сеять;;
ցանց;сеть;;
անցնել;пройти;;Протиснуться
այցելել;посещать;;Уцелел после посещения
այց;посещение;;ай да посетил
տանել;уносить;;Таннеле уносит
տալ;дать;;Дал
տեսնել;видеть;;увител ТЭЦ
տարբեր;разный;;Разная тарабарщина
մատիտ;карандаш;;карандаш похож на палец (мат)
մատանի;кольцо;;кольцо на палец (мат)
մատ;палец;;обматерил и палец показал
գետ;река;;Гетап
տասը;десять;;Созвучно с ten
անտառ;лес;;Анта
տարեկան;годовалый;;
տարի;год;;
տեր;хозяин;;
տիկին;госпожа;;Тыкнуть госпожу
տետր;тетрадь;;
արակատ;вечер;;Ара, вот и вечер!
արդեն;уже;;Арденский лес уже опал
տուն;дом;;
անուն;имя;;Созвучно с name.
ուտել;есть;;Армяне любят есть нУтеллу.
կարոտել;скучать;;Скучаю по картелю.
նստել;садиться;;Садиться на нутеллу
կանգնել;стоять;;Как в маршрутке кричали
առատ;обильный;;Обильные дожди на Арарате
կարոտ;тоска;;Тоска по моркови
բանակ;армия;;Армейская банька
տատիկ;бабушка;;Тетя бабушка
ո՞ւր;куда?;;Куда пошел котик?
ո՞ւմ;Кого? рп (чей), дп (кому) и вп (кого) для одушевленных;;
մնալ;оставаться;;
գնալ;уходить;;Gone
գալ;приходить;;И пришли галлы
նայել;смотреть;;Смотреть НА что-то
ասել;сказать;;
նկարել;рисовать;;
սիրել;любить;;
կարդալ;читать;;
գրել;писать;;
ելակ;клубника;;
լուր;весть;;
լույս;свет;;
լուսին;луна;;
լայն;широкий;;Wide lane
Երակ;вена;;
Բայ;глагол;;Купи (buy) глагол!
Գոյական;существительное;;Существительное для гоев.
մայիս;май;;
նույն;тот же самый;;Ну и тот же!
միասին;вместе;;Вместе наоборот
միայն;только;;Ми айн - только я один
Նայիր;смотри!;;Смотри, больница Наири
Միասին;вместе;;Ми айн вместе с осиной
Միակ;единственный;;Единственный маяк
մորի;малина;;малина в море
կույր;слепой;;
այգի;сад;;Норки Айгилер (улица в Ереване)
մյուս;другой;;Группа Мьюз совсем другая
գույն;цвет;;Цвет ГУИ
այսօր;сегодня;;дословно “этот день”.
մայրենի;родной;;Мамин
մայրական;материнский;;
սյուն;столб;;
բույր;аромат;;Буйный аромат
սենյակ;комната;;Синяк
մարմին;Тело;;Мраморное тело
առ;купи;;
ամուր;крепкий;;Крепкий как любовь
արյուն;кровь;;Ар ю в крови?
յասաման;сирень;;
